Name, AD, AP, Melee, Ranged, Top, Jungle, Mid, Supp, Adc, Owned
Aatrox, true, false, true, false, true, true, false, false, false, true
Ahri, false, true, false, true, false, false, true, false, false, true
Akali, false, true, true, false, true, false, true, false, false, true
Alistar, false, true, true, false, false, false, false, true, false, true
Amumu, false, true, true, false, false, true, false, false, false, true
Anivia, false, true, false, true, false, false, true, false, false, true
Annie, false, true, false, true, false, false, true, true, false, true
Ashe, true, false, false, true, false, false, false, false, true, true
Aurelion Sol, false, true, false, true, false, false, true, false, false, true
Azir, false, true, true, false, false, false, true, false, false, true
Bard, false, true, false, true, false, false, false, true, false, true
Blitzcrank, false, true, true, false, false, false, false, true, false, true
Brand, false, true, false, true, false, false, true, true, false, true
Braum, true, false, true, false, false, false, false, true, false, true
Caitlyn, true, false, false, true, false, false, false, false, true, true
Camille, true, false, true, false, true, true, false, false, false, true
Cassiopeia, false, true, false, true, false, false, true, false, false, true
Cho'Gath, false, true, true, false, true, true, true, false, false, true
Corki, true, false, false, true, false, false, false, false, true, true
Darius, true, false, true, false, true, false, false, false, false, true
Diana, false, true, true, false, true, true, true, false, false, true
Dr. Mundo, true, true, true, false, true, true, false, false, false, true
Draven, true, false, false, true, false, false, false, false, true, true
Ekko, false, true, true, false, true, false, true, false, false, true
Elise, false, true, true, true, false, true, true, false, false, true
Evelynn, true, true, true, false, false, true, false, false, false, true
Ezreal, true, true, false, true, false, false, true, false, true, true
Fiddlesticks, false, true, false, true, false, true, true, true, false, true
Fiora, true, false, true, false, true, false, false, false, false, true
Fizz, false, true, true, false, true, true, true, false, false, true
Galio, false, true, true, false, true, true, true, true, false, true
Gangplank, true, false, true, false, true, false, true, false, false, true
Garen, true, false, true, false, true, false, false, false, false, true
Gnar, true, false, true, false, true, false, false, false, false, true
Gragas, false, true, true, false, true, true, true, false, false, true
Graves, true, false, false, true, false, true, false, false, true, true
Hecarim, true, false, true, false, true, true, false, false, false, true
Heimerdinger, false, true, false, true, false, false, true, false, false, true
Illaoi, true, false, true, false, true, false, false, false, false, true
Irelia, true, false, true, false, true, false, false, false, false, true
Ivern, false, true, true, false, false, true, false, true, false, true
Janna, false, true, false, true, false, false, false, true, false, true
Jarvan IV, true, false, true, false, true, true, false, false, false, true
Jax, true, true, true, false, true, true, false, false, false, true
Jayce, true, false, true, true, true, false, true, false, false, true
Jhin, true, false, false, true, false, false, true, false, true, true
Jinx, true, false, false, true, false, false, false, false, true, true
Kalista, true, false, false, true, false, false, false, false, true, true
Karma, false, true, false, true, false, false, true, true, false, true
Karthus, false, true, false, true, false, false, true, false, false, true
Kassadin, false, true, true, false, false, false, true, false, false, true
Katarina, false, true, true, false, false, false, true, false, false, true
Kayle, true, true, true, false, true, false, false, true, false, true
Kennen, false, true, false, true, true, false, true, false, false, true
Kha'Zix, true, false, true, false, true, true, true, false, false, true
Kindred, true, false, false, true, false, true, false, false, false, true
Kled, true, false, true, false, true, false, false, false, false, true
Kog'Maw, true, false, false, true, false, false, false, false, true, true
LeBlanc, false, true, false, true, false, false, true, false, false, true
Lee Sin, true, false, true, false, true, true, false, false, false, true
Leona, true, true, true, false, false, false, false, true, false, true
Lissandra, false, true, false, true, true, false, true, false, false, true
Lucian, true, false, false, true, false, false, true, false, true, true
Lulu, false, true, false, true, false, false, true, true, false, true
Lux, false, true, false, true, false, false, true, true, false, true
Malphite, true, true, true, false, true, false, false, false, false, true
Malzahar, false, true, false, true, false, false, true, false, false, true
Maokai, false, true, true, false, false, true, false, false, false, true
Master Yi, true, false, true, false, true, true, true, false, false, true
Miss Fortune, true, false, false, true, false, false, false, false, true, true
Mordekaiser, false, true, true, false, true, false, false, false, false, true
Morgana, false, true, false, true, false, false, true, true, false, true
Nami, false, true, false, true, false, false, false, true, false, true
Nasus, true, false, true, false, true, false, false, false, false, true
Nautilus, false, true, true, false, false, true, false, false, false, true
Nidalee, false, true, true, true, true, false, true, true, false, true
Nocturne, true, false, true, false, false, true, false, false, false, true
Nunu, false, true, true, false, false, true, false, false, false, true
Olaf, true, false, true, false, true, true, false, false, false, true
Orianna, false, true, false, true, false, false, true, false, false, true
Pantheon, true, false, true, false, true, true, false, false, false, true
Poppy, true, false, true, false, true, false, false, true, false, true
Quinn, true, false, false, true, true, true, true, false, true, true
Rakan, false, true, true, false, false, false, false, true, false, true
Rammus, false, true, true, false, false, true, false, false, false, true
Rek'Sai, true, false, true, false, false, true, false, false, false, true
Renekton, true, false, true, false, true, false, false, false, false, true
Rengar, true, false, true, false, true, true, false, false, false, true
Riven, true, false, true, false, true, true, false, false, false, true
Rumble, false, true, true, false, true, false, false, false, false, true
Ryze, false, true, false, true, true, false, true, false, false, true
Sejuani, true, false, true, false, false, true, false, false, false, true
Shaco, true, true, true, false, false, true, false, false, false, true
Shen, true, false, true, false, true, false, false, false, false, true
Shyvana, true, false, true, false, true, true, false, false, false, true
Singed, false, true, true, false, true, false, false, false, false, true
Sion, true, false, true, false, true, false, false, false, false, true
Sivir, true, false, false, true, false, false, false, false, true, true
